
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 1.000
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
1.141,1.148,13.747,29.057,29.677,0,0,0,0,,1.141,1.148,13.737,30.216,30.459,0,0,0,0,,1.141,1.148,13.849,31.011,31.501,0,0,0,0,,1.141,1.148,13.407,31.273,31.669,0,0,0,0,
1.141,1.148,13.747,29.057,29.677,0,0,0,0,,1.141,1.148,13.737,30.216,30.459,0,0,0,0,,1.141,1.148,13.849,31.011,31.501,0,0,0,0,,1.141,1.148,13.820,31.273,31.669,0,0,0,0,
1.142,1.149,13.772,29.046,29.677,0,0,0,0,,1.142,1.149,13.737,30.216,30.471,0,0,0,0,,1.142,1.149,13.844,31.000,31.489,0,0,0,0,,1.142,1.149,13.820,31.261,31.657,0,0,0,0,
1.142,1.149,13.772,29.046,29.677,0,0,0,0,,1.142,1.149,13.737,30.216,30.471,0,0,0,0,,1.142,1.149,13.844,31.000,31.489,0,0,0,0,,1.142,1.149,13.616,31.261,31.657,0,0,0,0,
1.144,1.151,13.786,29.046,29.665,0,0,0,0,,1.144,1.151,13.737,30.227,30.459,0,0,0,0,,1.144,1.151,13.844,31.011,31.489,0,0,0,0,,1.144,1.151,13.616,31.261,31.657,0,0,0,0,
1.144,1.151,13.786,29.046,29.665,0,0,0,0,,1.144,1.151,13.737,30.227,30.459,0,0,0,0,,1.144,1.151,13.844,31.011,31.489,0,0,0,0,,1.144,1.151,13.475,31.261,31.657,0,0,0,0,
1.140,1.148,13.752,29.046,29.665,0,0,0,0,,1.140,1.148,13.300,30.216,30.459,0,0,0,0,,1.140,1.148,13.849,31.011,31.489,0,0,0,0,,1.140,1.148,13.475,31.249,31.657,0,0,0,0,
1.140,1.148,13.752,29.046,29.665,0,0,0,0,,1.140,1.148,13.300,30.216,30.459,0,0,0,0,,1.140,1.148,13.849,31.011,31.489,0,0,0,0,,1.140,1.148,13.796,31.249,31.657,0,0,0,0,
1.141,1.148,13.757,29.046,29.654,0,0,0,0,,1.141,1.148,13.499,30.227,30.471,0,0,0,0,,1.141,1.148,13.499,31.000,31.477,0,0,0,0,,1.141,1.148,13.796,31.249,31.645,0,0,0,0,
1.141,1.148,13.757,29.046,29.654,0,0,0,0,,1.141,1.148,13.499,30.227,30.471,0,0,0,0,,1.141,1.148,13.499,31.000,31.477,0,0,0,0,,1.141,1.148,12.852,31.249,31.645,0,0,0,0,
0.751,0.756,9.088,29.046,29.654,0,4095,0,2,,0.751,0.756,8.777,30.227,30.459,0,4095,0,2,,0.751,0.756,9.891,31.000,31.477,0,4095,0,2,,0.751,0.756,12.852,31.249,31.645,0,0,0,0,

Fault detected hence turning off the contactor first and waiting for fault recovery
In Fault Mode...!Clear all faults now...!
In Fault Mode...!Clear all faults now...!
In Fault Mode...!Clear all faults now...!
In Fault Mode...!Clear all faults now...!
ReCovered! now read back data again and see if fault is there or not?
Recovered from fault,turning On contactor.....!
1.050,1.057,12.668,29.035,29.643,0,0,0,0,,1.050,1.057,12.361,30.204,30.436,0,0,0,0,,1.050,1.057,12.342,30.941,31.429,0,0,0,0,,1.050,1.057,12.711,31.190,31.585,0,0,0,0,
1.049,1.056,12.658,29.035,29.643,0,0,0,0,,1.049,1.056,12.405,30.193,30.436,0,0,0,0,,1.049,1.056,12.347,30.952,31.405,0,0,0,0,,1.049,1.056,12.711,31.190,31.573,0,0,0,0,
1.049,1.056,12.658,29.035,29.643,0,0,0,0,,1.049,1.056,12.405,30.193,30.436,0,0,0,0,,1.049,1.056,12.347,30.952,31.405,0,0,0,0,,1.049,1.056,12.716,31.190,31.573,0,0,0,0,
1.047,1.055,12.643,29.024,29.631,0,0,0,0,,1.047,1.055,12.619,30.193,30.436,0,0,0,0,,1.047,1.055,12.750,30.952,31.405,0,0,0,0,,1.047,1.055,12.726,31.190,31.573,0,0,0,0,
1.047,1.055,12.643,29.024,29.631,0,0,0,0,,1.047,1.055,12.619,30.193,30.436,0,0,0,0,,1.047,1.055,12.750,30.952,31.405,0,0,0,0,,1.047,1.055,12.726,31.190,31.573,0,0,0,0,
1.049,1.057,12.668,29.013,29.631,0,0,0,0,,1.049,1.057,12.196,30.193,30.436,0,0,0,0,,1.049,1.057,12.755,30.929,31.393,0,0,0,0,,1.049,1.057,12.726,31.190,31.573,0,0,0,0,
1.049,1.057,12.668,29.013,29.631,0,0,0,0,,1.049,1.057,12.196,30.193,30.436,0,0,0,0,,1.049,1.057,12.755,30.929,31.393,0,0,0,0,,1.049,1.057,12.716,31.190,31.573,0,0,0,0,
1.049,1.056,12.648,29.024,29.643,0,0,0,0,,1.049,1.056,12.595,30.251,30.494,0,0,0,0,,1.049,1.056,12.745,31.178,31.682,0,0,0,0,,1.049,1.056,12.716,33.458,35.002,0,0,0,0,
1.049,1.056,12.648,29.024,29.643,0,0,0,0,,1.049,1.056,12.595,30.251,30.494,0,0,0,0,,1.049,1.056,12.745,31.178,31.682,0,0,0,0,,1.049,1.056,12.731,33.458,35.002,0,0,0,0,
1.050,1.058,12.672,29.057,29.665,0,0,0,0,,1.050,1.058,12.638,30.239,30.494,0,0,0,0,,1.050,1.058,12.731,31.357,31.973,0,0,0,0,,1.050,1.058,12.731,33.458,35.002,0,0,0,0,
1.050,1.058,12.672,29.057,29.665,0,0,0,0,,1.050,1.058,12.638,30.239,30.494,0,0,0,0,,1.050,1.058,12.731,31.357,31.973,0,0,0,0,,1.050,1.058,12.711,33.458,35.002,8,0,0,0,

Fault detected hence turning off the contactor first and waiting for fault recovery
In Fault Mode...!Clear all faults now...!
In Fault Mode...!Clear all faults now...!
ReCovered! now read back data again and see if fault is there or not?
Recovered from fault,turning On contactor.....!
