Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.994,1.000,11.987,30.262,30.952,0,0,0,0,,0.994,1.000,11.680,30.425,30.728,0,0,0,0,,0.994,1.000,12.065,30.366,30.846,0,0,0,0,,0.994,1.000,12.031,28.979,29.575,0,0,0,0,
0.994,1.000,11.987,30.262,30.952,0,0,0,0,,0.994,1.000,11.680,30.425,30.728,0,0,0,0,,0.994,1.000,12.065,30.366,30.846,0,0,0,0,,0.994,1.000,12.040,28.957,29.563,0,0,0,0,
0.994,1.000,11.987,30.239,30.917,0,0,0,0,,0.994,1.000,11.753,30.425,30.717,0,0,0,0,,0.994,1.000,11.972,30.355,30.822,0,0,0,0,,0.994,1.000,12.040,28.957,29.563,0,0,0,0,
0.994,1.000,11.987,30.239,30.917,0,0,0,0,,0.994,1.000,11.753,30.425,30.717,0,0,0,0,,0.994,1.000,11.972,30.355,30.822,0,0,0,0,,0.994,1.000,12.045,28.957,29.552,0,0,0,0,
0.994,1.001,12.001,30.227,30.905,0,0,0,0,,0.994,1.001,11.943,30.425,30.705,0,0,0,0,,0.994,1.001,12.079,30.332,30.811,0,0,0,0,,0.994,1.001,12.045,28.957,29.552,0,0,0,0,
0.994,1.001,12.001,30.227,30.905,0,0,0,0,,0.994,1.001,11.943,30.425,30.705,0,0,0,0,,0.994,1.001,12.079,30.332,30.811,0,0,0,0,,0.994,1.001,12.045,28.946,29.552,0,0,0,0,
0.993,1.000,11.987,30.262,30.929,0,0,0,0,,0.993,1.000,11.749,30.752,31.059,0,0,0,0,,0.993,1.000,12.069,31.071,31.501,0,0,0,0,,0.993,1.000,12.045,28.946,29.552,0,0,0,0,
0.993,1.000,11.987,30.262,30.929,0,0,0,0,,0.993,1.000,11.749,30.752,31.059,0,0,0,0,,0.993,1.000,12.069,31.071,31.501,0,0,0,0,,0.993,1.000,12.050,35.584,37.643,0,0,0,0,
0.993,1.000,11.987,30.251,30.929,0,0,0,0,,0.993,1.000,11.680,30.588,30.905,0,0,0,0,,0.993,1.000,12.069,30.764,31.202,0,0,0,0,,0.993,1.000,12.050,35.584,37.643,0,0,0,0,
0.993,1.000,11.987,30.251,30.929,0,0,0,0,,0.993,1.000,11.680,30.588,30.905,0,0,0,0,,0.993,1.000,12.069,30.764,31.202,0,0,0,0,,0.993,1.000,12.040,40.019,40.767,15,0,0,0,
Device : 3	Faults seen :	OVTF=1

Fault detected hence turning off the contactor first and waiting for fault recovery
In Fault Mode...!Clear all faults now...!
ReCovered! now read back data again and see if fault is there or not?
Recovered from fault,turning On contactor.....!
0.994,1.002,12.001,30.216,30.929,0,0,0,0,,0.994,1.002,11.505,30.576,30.881,0,0,0,0,,0.994,1.002,12.074,30.811,31.273,0,0,0,0,,0.994,1.002,12.040,34.247,35.652,0,0,0,0,
0.994,1.002,12.001,30.216,30.929,0,0,0,0,,0.994,1.002,11.505,30.576,30.881,0,0,0,0,,0.994,1.002,12.074,30.811,31.273,0,0,0,0,,0.994,1.002,11.627,34.247,35.652,0,0,0,0,
0.994,1.000,11.992,30.204,30.976,0,0,0,0,,0.994,1.000,11.948,30.553,30.881,0,0,0,0,,0.994,1.000,12.074,30.799,31.261,0,0,0,0,,0.994,1.000,11.627,34.247,35.652,0,0,0,0,
0.994,1.000,11.992,30.204,30.976,0,0,0,0,,0.994,1.000,11.948,30.553,30.881,0,0,0,0,,0.994,1.000,12.074,30.799,31.261,0,0,0,0,,0.994,1.000,12.035,33.960,35.231,0,0,0,0,
0.993,0.999,11.987,30.181,30.870,0,0,0,0,,0.993,0.999,11.953,30.564,30.881,0,0,0,0,,0.993,0.999,11.870,30.775,31.261,0,0,0,0,,0.993,0.999,12.035,33.960,35.231,0,0,0,0,
0.993,0.999,11.987,30.181,30.870,0,0,0,0,,0.993,0.999,11.953,30.564,30.881,0,0,0,0,,0.993,0.999,11.870,30.775,31.261,0,0,0,0,,0.993,0.999,11.792,33.650,34.775,0,0,0,0,
0.993,1.001,11.997,30.170,30.858,0,0,0,0,,0.993,1.001,11.958,30.553,30.870,0,0,0,0,,0.993,1.001,11.680,30.787,31.261,0,0,0,0,,0.993,1.001,11.792,33.650,34.775,0,0,0,0,
0.993,1.001,11.997,30.170,30.858,0,0,0,0,,0.993,1.001,11.958,30.553,30.870,0,0,0,0,,0.993,1.001,11.680,30.787,31.261,0,0,0,0,,0.993,1.001,12.035,33.433,34.483,0,0,0,0,
0.994,1.000,12.001,30.274,30.976,0,0,0,0,,0.994,1.000,11.958,30.728,31.059,0,0,0,0,,0.994,1.000,11.671,30.799,31.285,0,0,0,0,,0.994,1.000,12.035,33.433,34.483,0,0,0,0,
0.994,1.000,12.001,30.274,30.976,0,0,0,0,,0.994,1.000,11.958,30.728,31.059,0,0,0,0,,0.994,1.000,11.671,30.799,31.285,0,0,0,0,,0.994,1.000,12.040,33.242,34.195,0,0,0,0,
0.993,1.000,11.992,30.448,31.142,0,0,0,0,,0.993,1.000,11.958,30.682,31.000,0,0,0,0,,0.993,1.000,12.069,30.822,32.132,0,0,0,0,,0.993,1.000,12.040,33.242,34.195,0,0,0,0,
0.993,1.000,11.992,30.448,31.142,0,0,0,0,,0.993,1.000,11.958,30.682,31.000,0,0,0,0,,0.993,1.000,12.069,30.822,32.132,0,0,0,0,,0.993,1.000,12.045,33.027,33.896,0,0,0,0,
