
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
Contactor turned ON.....!UV Limit set to = 1.0
OV_limit set to = 3.500
OVTF limit set to = 40degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
1.304,1.311,15.663,29.180,29.859,8,0,0,0,,1.304,1.311,15.440,31.309,31.730,14,0,0,0,,1.304,1.311,15.780,31.669,32.267,14,0,0,0,,1.304,1.311,15.751,30.811,31.154,15,0,0,0,
1.304,1.311,15.663,29.79,29.734,8,0,0,0,,1.304,1.311,15.440,31.309,31.730,14,0,0,0,,1.304,1.311,15.780,31.669,32.267,14,0,0,0,,1.304,1.311,15.751,30.811,31.154,15,0,0,0,
1.306,1.314,15.702,29.79,29.734,0,0,0,0,,1.306,1.314,15.707,31.202,31.597,14,0,0,0,,1.306,1.314,15.780,31.669,32.267,14,0,0,0,,1.306,1.314,15.751,30.811,31.154,15,0,0,0,
1.306,1.314,15.702,29.79,29.734,0,0,0,0,,1.306,1.314,15.707,31.202,31.597,0,0,0,0,,1.306,1.314,15.415,31.573,32.120,0,0,0,0,,1.306,1.314,15.751,30.740,31.71,15,0,0,0,
1.306,1.314,15.702,29.79,29.734,0,0,0,0,,1.306,1.314,15.707,31.202,31.597,0,0,0,0,,1.306,1.314,15.415,31.573,32.120,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.79,29.734,0,0,0,0,,1.306,1.314,15.707,31.202,31.597,0,0,0,0,,1.306,1.314,15.415,31.573,32.120,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.68,29.734,0,0,0,0,,1.306,1.314,15.707,31.202,31.597,0,0,0,0,,1.306,1.314,15.415,31.573,32.120,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
1.305,1.315,15.702,29.68,29.734,0,0,0,0,,1.305,1.315,15.692,31.190,31.585,0,0,0,0,,1.305,1.315,15.415,31.573,32.120,0,0,0,0,,1.305,1.315,15.780,30.740,31.71,0,0,0,0,
1.305,1.315,15.702,29.68,29.734,0,0,0,0,,1.305,1.315,15.692,31.190,31.585,0,0,0,0,,1.305,1.315,15.799,31.573,32.132,0,0,0,0,,1.305,1.315,15.780,30.740,31.71,0,0,0,0,
1.305,1.315,15.702,29.68,29.734,0,0,0,0,,1.305,1.315,15.692,31.190,31.585,0,0,0,0,,1.305,1.315,15.799,31.573,32.132,0,0,0,0,,1.305,1.315,15.765,30.752,31.71,0,0,0,0,
1.305,1.315,15.702,29.68,29.734,0,0,0,0,,1.305,1.315,15.692,31.190,31.585,0,0,0,0,,1.305,1.315,15.799,31.573,32.132,0,0,0,0,,1.305,1.315,15.765,30.752,31.71,0,0,0,0,
1.305,1.315,15.702,29.68,29.722,0,0,0,0,,1.305,1.315,15.692,31.190,31.585,0,0,0,0,,1.305,1.315,15.799,31.573,32.132,0,0,0,0,,1.305,1.315,15.765,30.752,31.71,0,0,0,0,
1.280,1.313,15.478,29.68,29.722,0,0,0,0,,1.280,1.313,15.722,31.190,31.597,0,0,0,0,,1.280,1.313,15.799,31.573,32.132,0,0,0,0,,1.280,1.313,15.765,30.752,31.71,0,0,0,0,
1.280,1.313,15.478,29.68,29.722,0,0,0,0,,1.280,1.313,15.722,31.190,31.597,0,0,0,0,,1.280,1.313,15.804,31.561,32.120,0,0,0,0,,1.280,1.313,15.765,30.752,31.71,0,0,0,0,
1.280,1.313,15.478,29.68,29.722,0,0,0,0,,1.280,1.313,15.722,31.190,31.597,0,0,0,0,,1.280,1.313,15.804,31.561,32.120,0,0,0,0,,1.280,1.313,15.760,30.740,31.71,0,0,0,0,
1.280,1.313,15.478,29.68,29.722,0,0,0,0,,1.280,1.313,15.722,31.190,31.597,0,0,0,0,,1.280,1.313,15.804,31.561,32.120,0,0,0,0,,1.280,1.313,15.760,30.740,31.71,0,0,0,0,
1.280,1.313,15.478,29.68,29.734,0,0,0,0,,1.280,1.313,15.722,31.190,31.597,0,0,0,0,,1.280,1.313,15.804,31.561,32.120,0,0,0,0,,1.280,1.313,15.760,30.740,31.71,0,0,0,0,
1.307,1.315,15.712,29.68,29.734,0,0,0,0,,1.307,1.315,15.692,31.190,31.585,0,0,0,0,,1.307,1.315,15.804,31.561,32.120,0,0,0,0,,1.307,1.315,15.760,30.740,31.71,0,0,0,0,
1.307,1.315,15.712,29.68,29.734,0,0,0,0,,1.307,1.315,15.692,31.190,31.585,0,0,0,0,,1.307,1.315,15.809,31.561,32.120,0,0,0,0,,1.307,1.315,15.760,30.740,31.71,0,0,0,0,
1.307,1.315,15.712,29.68,29.734,0,0,0,0,,1.307,1.315,15.692,31.190,31.585,0,0,0,0,,1.307,1.315,15.809,31.561,32.120,0,0,0,0,,1.307,1.315,15.639,30.740,31.71,0,0,0,0,
1.307,1.315,15.712,29.68,29.734,0,0,0,0,,1.307,1.315,15.692,31.190,31.585,0,0,0,0,,1.307,1.315,15.809,31.561,32.120,0,0,0,0,,1.307,1.315,15.639,30.740,31.71,0,0,0,0,
1.307,1.315,15.712,29.68,29.722,0,0,0,0,,1.307,1.315,15.692,31.190,31.585,0,0,0,0,,1.307,1.315,15.809,31.561,32.120,0,0,0,0,,1.307,1.315,15.639,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.68,29.722,0,0,0,0,,1.306,1.314,15.707,31.178,31.585,0,0,0,0,,1.306,1.314,15.809,31.561,32.120,0,0,0,0,,1.306,1.314,15.639,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.68,29.722,0,0,0,0,,1.306,1.314,15.707,31.178,31.585,0,0,0,0,,1.306,1.314,15.804,31.561,32.108,0,0,0,0,,1.306,1.314,15.639,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.68,29.722,0,0,0,0,,1.306,1.314,15.707,31.178,31.585,0,0,0,0,,1.306,1.314,15.804,31.561,32.108,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
1.306,1.314,15.702,29.68,29.722,0,0,0,0,,1.306,1.314,15.707,31.178,31.585,0,0,0,0,,1.306,1.314,15.804,31.561,32.108,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
